FECHA_PUBLICACION,OP,ENTIDAD,DISPOSITIVO,NUMERO,SUMILLA,LINK,FECHA_CORTE
20240430,2284180-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION JEFATURAL,No 001-2024-OEDI-JEF,Aprueban la Seccion Segunda del Reglamento de Organizacion y Funciones del Organismo de Estudios y Diseno de Proyectos de Inversion,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VE1ZQlRNTEhZQkxIOVdfX1lCWEM5V1RNWENMSExI,20240430
20240430,2284271-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION JEFATURAL,No 059-2024-ANIN/JEF,Designan Ejecutor Coactivo y Auxiliar Coactivo de la Autoridad Nacional de Infraestructura,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VE1ZQlRNTEhZQkxIOVdfXzlXV1ZMSFRNWENMSExI,20240430
20240430,2284813-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION SUPREMA,No 118-2024-PCM,Prorrogan plazo de vigencia de la Comision Multisectorial de naturaleza temporal del Plan Nacional de Accesibilidad 2018-2023 creada por R.S. No 124-2019-PCM,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VE1ZQlRNTEhZQkxIOVdfX1M4OVdYQ1RNWENMSExI,20240430
20240430,2284197-1,COMERCIO EXTERIOR Y TURISMO,RESOLUCION MINISTERIAL,No 120-2024-MINCETUR,Designan Presidenta Ejecutiva de la Comision de Promocion del Peru para la Exportacion y el Turismo - PROMPERu,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VE1ZQlRNTEhZQkxIOVdfX1dWWVg5V1RNWENMSExI,20240430
20240430,2284200-1,COMERCIO EXTERIOR Y TURISMO,RESOLUCION MINISTERIAL,No 122-2024-MINCETUR,Designan Directora Ejecutiva del Plan COPESCO Nacional,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VE1ZQlRNTEhZQkxIOVdfX1lCWUJMSFRNWENMSExI,20240430
20240430,2284283-1,CULTURA,RESOLUCION MINISTERIAL,No 000195-2024-MC,Autorizan reduccion del presupuesto institucional del Ano Fiscal 2024 del Ministerio de Cultura,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VE1ZQlRNTEhZQkxIOVdfX1M4WENMSFRNWENMSExI,20240430
20240430,2284222-1,DESARROLLO AGRARIO Y RIEGO,RESOLUCION JEFATURAL,No 059-2024-INIA,Designan Director de la Unidad de Planeamiento y Racionalizacion de la Oficina de Planeamiento y Presupuesto del Instituto Nacional de Innovacion Agraria,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VE1ZQlRNTEhZQkxIOVdfX0xITEhMSFRNWENMSExI,20240430
20240430,2284280-6,DESARROLLO AGRARIO Y RIEGO,RESOLUCION SUPREMA,No 009-2024-MIDAGRI,Aceptan renuncia de Viceministro de Desarrollo de Agricultura Familiar e Infraestructura Agraria y Riego del Ministerio de Desarrollo Agrario y Riego,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VE1ZQlRNTEhZQkxIVkJfX1lCWENMSFRNWENMSExI,20240430
20240430,2284280-7,DESARROLLO AGRARIO Y RIEGO,RESOLUCION SUPREMA,No 010-2024-MIDAGRI,Designan Viceministro de Desarrollo de Agricultura Familiar e Infraestructura Agraria y Riego,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VE1ZQlRNTEhZQkxIV1ZfX1lCWENMSFRNWENMSExI,20240430
20240430,2284280-1,ECONOMIA Y FINANZAS,DECRETO SUPREMO,No 069-2024-EF,Decreto Supremo que autoriza Transferencia de Partidas en el Presupuesto del Sector Publico para el Ano Fiscal 2024 a favor de diversos gobiernos locales,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VE1ZQlRNTEhZQkxIOVdfX1lCWENMSFRNWENMSExI,20240430
