FECHA_PUBLICACION,OP,ENTIDAD,DISPOSITIVO,NUMERO,SUMILLA,LINK,FECHA_CORTE
20240831,2320356-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION,No 003-2024-PCM/SGP,Aprueban Lineamientos que establecen los criterios para el desarrollo e implementacion de los procedimientos administrativos y servicios prestados en exclusividad estandarizados en las Entidades de la Administracion Publica,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WENZQlRNTEhZQkxIOVdfX1ZCVU5TOFlCTEhTOExI,20240831
20240831,2320071-1,COMERCIO EXTERIOR Y TURISMO,RESOLUCION MINISTERIAL,No 240-2024-MINCETUR,Autorizan viaje de representante de PROMPERu para participar en evento a realizarse en Marruecos,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WENZQlRNTEhZQkxIOVdfXzlXV1ZZQllCTEhTOExI,20240831
20240831,2320225-1,COMERCIO EXTERIOR Y TURISMO,RESOLUCION MINISTERIAL,No 241-2024-MINCETUR,Autorizan viaje de representantes de PROMPERu para participar en eventos a realizarse en Ecuador,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WENZQlRNTEhZQkxIOVdfX1VOTEhMSFlCTEhTOExI,20240831
20240831,2320228-1,COMERCIO EXTERIOR Y TURISMO,RESOLUCION MINISTERIAL,No 242-2024-MINCETUR,Autorizan viaje de representante de PROMPERu para participar en eventos a realizarse en Francia,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WENZQlRNTEhZQkxIOVdfX1hDTEhMSFlCTEhTOExI,20240831
20240831,2320054-1,CULTURA,RESOLUCION VICE MINISTERIAL,No 000252-2024-VMPCIC/MC,Declaran Patrimonio Cultural de la Nacion a la Festividad del Dulce Nombre de Jesus o Senor de Pampacucho y la Peregrinacion al Santuario del Senor de Pampacucho en la comunidad campesina de Pampacucho distrito de Colcha provincia de Paruro departamento de Cusco,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WENZQlRNTEhZQkxIOVdfX1RNVU5ZQllCTEhTOExI,20240831
20240831,2320360-1,DEFENSA,RESOLUCION MINISTERIAL,No 00922-2024-DE,Autorizan viaje de personal militar a Brasil en mision de estudios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WENZQlRNTEhZQkxIOVdfX1lCVkJTOFlCTEhTOExI,20240831
20240831,2320358-1,ECONOMIA Y FINANZAS,RESOLUCION MINISTERIAL,No 271-2024-EF/50,Resolucion Ministerial que aprueba los indices de Distribucion del Canon Minero complementario proveniente del Impuesto a la Renta correspondiente al Ejercicio Fiscal 2023,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WENZQlRNTEhZQkxIOVdfX1hDVU5TOFlCTEhTOExI,20240831
20240831,2320352-1,ENERGIA Y MINAS,RESOLUCION MINISTERIAL,No 345-2024-MINEM/DM,Autorizan viaje de Director General de la Direccion General de Eficiencia Energetica para participar en evento a realizarse en Chile,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WENZQlRNTEhZQkxIOVdfX0xIVU5TOFlCTEhTOExI,20240831
20240831,2320353-1,INTERIOR,RESOLUCION MINISTERIAL,No 1099-2024-IN,Autorizan viaje de personal policial a Argentina en mision de estudios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WENZQlRNTEhZQkxIOVdfX1M4VU5TOFlCTEhTOExI,20240831
20240831,2319958-1,RELACIONES EXTERIORES,RESOLUCION MINISTERIAL,No 0652-2024-RE,Designan Representante Alterno del Ministerio de Relaciones Exteriores ante la Comision Consultiva Tecnica Multisectorial sobre Asuntos de la Organizacion Maritima Internacional (COMI),https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WENZQlRNTEhZQkxIOVdfX1hDVU5ZWFlYOVdTOExI,20240831
20240831,2319959-1,RELACIONES EXTERIORES,RESOLUCION MINISTERIAL,No 0653-2024-RE,Designan Comisionado Titular del Peru ante la Comision Interamericana del Atun Tropical (CIAT) por parte del Ministerio de Relaciones Exteriores,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WENZQlRNTEhZQkxIOVdfX1lYVU5ZWFlYOVdTOExI,20240831
