Fecha Publicaci¢n,OP,Entidad,Dispositivo,N£mero,Sumilla,Link,Fecha Corte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358390-1,CONGRESO DE LA REPUBLICA,LEY,N¯ 32221,Ley que modifica el Decreto Legislativo 85 Ley General de Cooperativas para su adecuaci¢n a las nuevas tecnolog°as y el cumplimiento de sus fines,https://busquedas.elperuano.pe/dispositivo/NL/2358390-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358390-2,CONGRESO DE LA REPUBLICA,LEY,N¯ 32222,Ley que declara D°a Nacional de la Danza del Huaylarsh Wanka del departamento de Jun°n el MiÇrcoles de Ceniza de cada a§o,https://busquedas.elperuano.pe/dispositivo/NL/2358390-2,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358390-3,CONGRESO DE LA REPUBLICA,LEY,N¯ 32223,Ley que modifica el Decreto Legislativo 1057 Decreto Legislativo que regula el rÇgimen especial de contrataci¢n administrativa de servicios; y el Decreto Legislativo 276 Ley de bases de la carrera administrativa y de remuneraciones del sector p£blico para regular el derecho a la encargatura y designaci¢n de cargos de confianza y de puestos de direcci¢n en entidades p£blicas,https://busquedas.elperuano.pe/dispositivo/NL/2358390-3,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358390-4,CONGRESO DE LA REPUBLICA,LEY,N¯ 32224,Ley que crea la Universidad Nacional Aut¢noma del Distrito de San Marcos,https://busquedas.elperuano.pe/dispositivo/NL/2358390-4,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358390-5,CONGRESO DE LA REPUBLICA,RESOLUCION LEGISLATIVA,N¯ 32225,Resoluci¢n Legislativa que autoriza a la se§ora Presidenta de la Rep£blica para salir del territorio nacional del 20 al 24 de enero de 2025,https://busquedas.elperuano.pe/dispositivo/NL/2358390-5,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358391-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,DECRETO SUPREMO,N¯ 149-2024-PCM,Decreto Supremo que declara el a§o 2025 como el A§o de la recuperaci¢n y consolidaci¢n de la econom°a peruana,https://busquedas.elperuano.pe/dispositivo/NL/2358391-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358391-2,PRESIDENCIA DEL CONSEJO DE MINISTROS,DECRETO SUPREMO,N¯ 150-2024-PCM,Decreto Supremo que establece disposiciones sobre el rÇgimen del Aporte por Regulaci¢n del Organismo Supervisor de la Inversi¢n Privada en Telecomunicaciones,https://busquedas.elperuano.pe/dispositivo/NL/2358391-2,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358501-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION JEFATURAL,N¯ 00149-2024-ANIN,Aprueban el Plan Operativo Institucional (POI) Anual 2024 Modificado versi¢n 2 de la Autoridad Nacional de Infraestructura,https://busquedas.elperuano.pe/dispositivo/NL/2358501-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358134-1,COMERCIO EXTERIOR Y TURISMO,RESOLUCION MINISTERIAL,N¯ 387-2024-MINCETUR,Delegan en funcionarios del MINCETUR diversas facultades durante el Ejercicio Fiscal 2025,https://busquedas.elperuano.pe/dispositivo/NL/2358134-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358482-1,CULTURA,RESOLUCION MINISTERIAL,N¯ 000454-2024-MC,Modifican el numeral 1.65 del Anexo 1 Ingreso a bienes inmuebles prehisp†nicos museos e instituciones museales a cargo del Ministerio de Cultura del Tarifario Ènico de Servicios No Exclusivos brindados por el Ministerio de Cultura,https://busquedas.elperuano.pe/dispositivo/NL/2358482-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358489-1,CULTURA,RESOLUCION MINISTERIAL,N¯ 000455-2024-MC,Aprueban tarifas promocionales para visitantes nacionales y extranjeros residentes en el pa°s al Circuito Cultural Urbano comprendido por la Iglesia de BelÇn el Museo Arqueol¢gico y Etnogr†fico y el Ex Hospital de Varones del Conjunto Monumental BelÇn,https://busquedas.elperuano.pe/dispositivo/NL/2358489-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358146-1,DEFENSA,RESOLUCION MINISTERIAL,N¯ 01788-2024-DE,Autorizan viaje de oficiales de la Fuerza AÇrea del Per£ a Argentina en misi¢n de estudios,https://busquedas.elperuano.pe/dispositivo/NL/2358146-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358195-1,DESARROLLO AGRARIO Y RIEGO,RESOLUCION JEFATURAL,N¯ 243-2024-INIA,Delegan facultades y atribuciones en diversos funcionarios del INIA para el ejercicio fiscal 2025,https://busquedas.elperuano.pe/dispositivo/NL/2358195-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358391-3,DESARROLLO E INCLUSI‡N SOCIAL,DECRETO SUPREMO,N¯ 012-2024-MIDIS,Decreto Supremo que aprueba el Reglamento del Sistema Nacional de Desarrollo e Inclusi¢n Social (SINADIS),https://busquedas.elperuano.pe/dispositivo/NL/2358391-3,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358391-4,DESARROLLO E INCLUSI‡N SOCIAL,DECRETO SUPREMO,N¯ 013-2024-MIDIS,Decreto Supremo que modifica el Decreto Supremo N¯ 006-2016-MIDIS Decreto Supremo que establece funciones que corresponden al gobierno nacional gobiernos locales y organizaciones que participan en el Programa de Complementaci¢n Alimentaria - PCA,https://busquedas.elperuano.pe/dispositivo/NL/2358391-4,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358391-5,DESARROLLO E INCLUSI‡N SOCIAL,DECRETO SUPREMO,N¯ 014-2024-MIDIS,Decreto Supremo que dicta disposiciones para la medici¢n oficial de la pobreza multidimensional en el Per£ y su uso,https://busquedas.elperuano.pe/dispositivo/NL/2358391-5,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358120-1,ECONOMIA Y FINANZAS,COMUNICADO,N¯ 0010-2024-EF/52.01,..,https://busquedas.elperuano.pe/dispositivo/NL/2358120-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358556-1,ECONOMIA Y FINANZAS,RESOLUCION VICE MINISTERIAL,N¯ 005-2024-EF/11.01,Resoluci¢n Viceministerial que aprueba el Cronograma Anual Mensualizado para el Pago de las Remuneraciones y Pensiones en la Administraci¢n P£blica as° como de las Pensiones correspondientes al Decreto Ley N¯ 19990 financiadas con cargo al presupuesto institucional de la ONP a aplicarse durante el A§o Fiscal 2025,https://busquedas.elperuano.pe/dispositivo/NL/2358556-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358406-1,EDUCACION,RESOLUCION MINISTERIAL,N¯ 650-2024-MINEDU,Aprueban el Plan EstratÇgico Institucional ? PEI del Ministerio de Educaci¢n 2025-2030,https://busquedas.elperuano.pe/dispositivo/NL/2358406-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2357379-1,ENERGIA Y MINAS,RESOLUCION MINISTERIAL,N¯ 478-2024-MINEM/DM,Aprueban modificaci¢n de concesi¢n definitiva para desarrollar la actividad de generaci¢n de energ°a elÇctrica con recursos energÇticos renovables para el proyecto Central HidroelÇctrica Anashironi otorgada a favor de VARI ENERG÷A S.A.C.; y dictan otras disposiciones,https://busquedas.elperuano.pe/dispositivo/NL/2357379-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358055-1,ENERGIA Y MINAS,RESOLUCION MINISTERIAL,N¯ 482-2024-MINEM/DM,Otorgan concesi¢n definitiva a favor de la empresa ORYGEN PERÈ S.A.A. para desarrollar la generaci¢n de energ°a elÇctrica con Recursos EnergÇticos Renovablesen proyecto ubicado en el distrito de Las Lomas provincia de Caravel° departamento de Arequipa,https://busquedas.elperuano.pe/dispositivo/NL/2358055-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358326-1,INTERIOR,RESOLUCION MINISTERIAL,N¯ 1887-2024-IN,Disponen la publicaci¢n del proyecto de Decreto Supremo que aprueba el Reglamento del Decreto Legislativo N¯ 1611 Decreto Legislativo que aprueba medidas especiales para la prevenci¢n e investigaci¢n del delito de extorsi¢n y delitos conexos as° como para la modificaci¢n del C¢digo Penal aprobado mediante Decreto Legislativo Nß 635 y del C¢digo Procesal Penal aprobado por Decreto Legislativo Nß 957 el proyecto de Reglamento y la exposici¢n de motivos,https://busquedas.elperuano.pe/dispositivo/NL/2358326-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358416-1,INTERIOR,RESOLUCION MINISTERIAL,N¯ 1894-2024-IN,Designan Asesora II de la Secretar°a General del Ministerio,https://busquedas.elperuano.pe/dispositivo/NL/2358416-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358441-1,INTERIOR,RESOLUCION MINISTERIAL,N¯ 1874-2024-IN,Declaran la ampliaci¢n de una vacante en el proceso de ascenso por concurso de Oficiales de Armas y de Servicios de la Polic°a Nacional del Per£ del a§o 2024 ? Promoci¢n 2025,https://busquedas.elperuano.pe/dispositivo/NL/2358441-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358562-1,INTERIOR,RESOLUCION MINISTERIAL,N¯ 1899-2024-IN,Modifican Anexo de la R.M. N¯ 1488-2024-IN en el extremo del cuadro de mÇrito de Comandante de Armas de la PNP del proceso de ascenso por concurso de Oficiales de la Polic°a Nacional del Per£ del a§o 2024 ? Promoci¢n 2025,https://busquedas.elperuano.pe/dispositivo/NL/2358562-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358563-1,INTERIOR,RESOLUCION MINISTERIAL,N¯ 1900-2024-IN,Modifican en parte el art°culo 1 de la R.M. N¯ 1845-2024-IN que formaliza el ascenso al grado de Coronel de Armas de la Polic°a Nacional del Per£ a los Coronel de Armas que alcanzaron vacante en el proceso de ascenso por concurso de Oficiales Superiores de Armas y de Servicios de la Polic°a Nacional del Per£ del A§o 2024 ? Promoci¢n 2025,https://busquedas.elperuano.pe/dispositivo/NL/2358563-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358392-1,INTERIOR,RESOLUCION SUPREMA,N¯ 230-2024-IN,Asignan cargos en Agregadur°as Policiales en el extranjero a diversos oficiales de la Polic°a Nacional del Per£ y a suboficiales en el cargo de personal auxiliar,https://busquedas.elperuano.pe/dispositivo/NL/2358392-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358390-6,PRODUCE,DECRETO SUPREMO,N¯ 019-2024-PRODUCE,Decreto Supremo que crea la Comisi¢n Intergubernamental del Sector Producci¢n en materia de MYPE e Industria y la Comisi¢n Intergubernamental del Sector Producci¢n en materia de Pesca y Acuicultura,https://busquedas.elperuano.pe/dispositivo/NL/2358390-6,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
