Fecha Publicación,OP,Entidad,Dispositivo,Número,Sumilla,Link,Fecha Corte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367631-1,CONGRESO DE LA REPUBLICA,LEY,N° 32254,Ley que modifica la Ley 28094 Ley de Organizaciones Políticas a fin de restituir el financiamiento privado de personas jurídicas y dictar disposiciones para el empleo del financiamiento público,https://busquedas.elperuano.pe/dispositivo/NL/2367631-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367165-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,DECRETO SUPREMO,N° 018-2025-PCM,Decreto Supremo que prorroga el Estado de Emergencia declarado en las provincias de Putumayo y Mariscal Ramón Castilla del departamento de Loreto,https://busquedas.elperuano.pe/dispositivo/NL/2367165-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367169-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,FE DE ERRATA,D.S. N° 014-2025-PCM,FE DE ERRATA,https://busquedas.elperuano.pe/dispositivo/NL/2367169-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367116-1,COMERCIO EXTERIOR Y TURISMO,RESOLUCION MINISTERIAL,N° 024-2025-MINCETUR,Autorizan viaje de representante de PROMPERÚ para participar en evento a realizarse en la República Federal de Alemania,https://busquedas.elperuano.pe/dispositivo/NL/2367116-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366375-1,CULTURA,RESOLUCION DIRECTORAL,N° 000041-2025-DGPA-VMPCIC/MC,Determinan la Protección Provisional del Paisaje Arqueológico Canal de Surco – Segmento 4 ubicado en el distrito de Santiago de Surco provincia y departamento de Lima,https://busquedas.elperuano.pe/dispositivo/NL/2366375-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366379-1,CULTURA,RESOLUCION DIRECTORAL,N° 000038-2025-DGPA-VMPCIC/MC,Determinan la Protección Provisional del Sitio Arqueológico Cerro el Caymán ubicado en el distrito de Ventanilla provincia del Callao región del Callao,https://busquedas.elperuano.pe/dispositivo/NL/2366379-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366381-1,CULTURA,RESOLUCION DIRECTORAL,N° 000045-2025-DGPA-VMPCIC/MC,Determinan la Protección Provisional del Paisaje Arqueológico Camino Prehispánico Farfán – Trujillo; Tramo Farfán- Chiquitoy; Sector Cerro Faclo ubicado en el distrito de San Pedro de Lloc provincia de Pacasmayo departamento de La Libertad,https://busquedas.elperuano.pe/dispositivo/NL/2366381-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366384-1,CULTURA,RESOLUCION DIRECTORAL,N° 000042-2025-DGPA-VMPCIC/MC,Determinan la Protección Provisional del Sitio Arqueológico Pampa del Inca ubicado en los distritos de Chancay y Huaral provincia de Huaral departamento de Lima,https://busquedas.elperuano.pe/dispositivo/NL/2366384-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367161-1,CULTURA,RESOLUCION MINISTERIAL,N° 000025-2025-MC,Designan Asesor ll del Despacho Ministerial,https://busquedas.elperuano.pe/dispositivo/NL/2367161-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367026-1,DEFENSA,FE DE ERRATA,R.M. N° 00092-2025-DE,FE DE ERRATA,https://busquedas.elperuano.pe/dispositivo/NL/2367026-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
