FECHA_PUBLICACION,OP,ENTIDAD,DISPOSITIVO,NUMERO,SUMILLA,LINK,FECHA_CORTE
20240229,2266216-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION MINISTERIAL,No 043-2024-PCM,Aprueban el Plan Anual de Transferencia de Competencias Sectoriales a los Gobiernos Regionales y Locales 2024 de la Presidencia del Consejo de Ministros,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZWFlYWVhZWExITEhZQlRNTEhZQkxIOVdfX1ZCOVdMSFZCVkJMSExI,20240229
20240229,2265866-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION SUPREMA,No 037-2024-PCM,Autorizan viaje del Ministro de Energia y Minas a Canada y encargan su Despacho al Ministro de Transportes y Comunicaciones,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZWFlYWVhZWExITEhZQlRNTEhZQkxIOVdfX1ZCVkJYQ1VOVkJMSExI,20240229
20240229,2265613-1,AMBIENTE,RESOLUCION MINISTERIAL,No 070-2024-MINAM,Designan Jefe de la Oficina General de Cooperacion y Asuntos Internacionales del Ministerio,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZWFlYWVhZWExITEhZQlRNTEhZQkxIOVdfX1M4OVdWQlVOVkJMSExI,20240229
20240229,2265567-1,CULTURA,RESOLUCION MINISTERIAL,No 000078-2024-MC,Autorizan Transferencia Financiera a favor de la Contraloria General de la Republica,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZWFlYWVhZWExITEhZQlRNTEhZQkxIOVdfX1dWVkJVTlVOVkJMSExI,20240229
20240229,2265864-1,CULTURA,RESOLUCION MINISTERIAL,No 000080-2024-MC,Modifican fecha de implementacion de nuevos circuitos de visita turistica orientados a garantizar el uso sostenible la preservacion y conservacion de la Llaqta de Machupicchu,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZWFlYWVhZWExITEhZQlRNTEhZQkxIOVdfX1RNVkJYQ1VOVkJMSExI,20240229
20240229,2266178-1,CULTURA,RESOLUCION MINISTERIAL,No 000082-2024-MC,Aprueban el Plan Anual de Transferencia de Competencias Sectoriales a los Gobiernos Regionales y Locales del ano 2024 del Ministerio de Cultura,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZWFlYWVhZWExITEhZQlRNTEhZQkxIOVdfX1hDV1Y5V1ZCVkJMSExI,20240229
20240229,2265544-1,DEFENSA,RESOLUCION MINISTERIAL,No 00178-2024-DE,Autorizan permanencia de oficial de la Marina de Guerra del Peru en el Reino Unido de Gran Bretana e Irlanda del Norte como Representante Permanente Alterno ante la Organizacion Maritima Internacional (OMI),https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZWFlYWVhZWExITEhZQlRNTEhZQkxIOVdfX1RNVE1VTlVOVkJMSExI,20240229
20240229,2265871-1,DEFENSA,RESOLUCION MINISTERIAL,No 00179-2024-DE,Designan Coordinadora Parlamentaria del Ministerio de Defensa,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZWFlYWVhZWExITEhZQlRNTEhZQkxIOVdfXzlXV1ZYQ1VOVkJMSExI,20240229
20240229,2265872-1,DEFENSA,RESOLUCION MINISTERIAL,No 00180-2024-DE,Designan Director General del Centro de Altos Estudios Nacionales - Escuela de Post Grado,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZWFlYWVhZWExITEhZQlRNTEhZQkxIOVdfX0xIV1ZYQ1VOVkJMSExI,20240229
20240229,2266002-1,DEFENSA,RESOLUCION MINISTERIAL,No 00181-2024-DE,Aprueban el Plan Anual de Transferencia de Competencias Sectoriales a los Gobiernos Regionales y Locales 2024 del Sector Defensa,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZWFlYWVhZWExITEhZQlRNTEhZQkxIOVdfX0xIWUJZQlZCVkJMSExI,20240229
