FECHA_PUBLICACION,OP,ENTIDAD,DISPOSITIVO,NUMERO,SUMILLA,LINK,FECHA_CORTE
20240731,2311017-1,COMERCIO EXTERIOR Y TURISMO,RESOLUCION MINISTERIAL,No 217-2024-MINCETUR,Aprueban lista de los puntos de origen y destino frecuentes en el marco del Modulo de Informacion sobre los Servicios de Logistica de Comercio Exterior (MISLO),https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1dWOVdZQjlXOVdTOExI,20240731
20240731,2310893-1,DEFENSA,RESOLUCION MINISTERIAL,No 00755-2024-DE,Autorizan viaje de personal militar del Instituto Geografico Nacional a Corea del Sur en comision de servicios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1M4WVhYQ1lCOVdTOExI,20240731
20240731,2310899-1,DEFENSA,RESOLUCION MINISTERIAL,No 00763-2024-DE,Autorizan viaje de oficiales de la Marina de Guerra del Peru a Chile en comision de servicios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1lYWVhYQ1lCOVdTOExI,20240731
20240731,2310701-1,DESARROLLO AGRARIO Y RIEGO,RESOLUCION MINISTERIAL,No 0264-2024-MIDAGRI,Actualizan el Padron de los Sectores Estadisticos Agropecuarios por la creacion de nuevos Distritos Politicos y el Padron Nacional de Sectores Estadisticos (SE) 2024/2025,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfXzlXWUJXVllCOVdTOExI,20240731
20240731,2311437-1,ECONOMIA Y FINANZAS,RESOLUCION MINISTERIAL,No 240-2024-EF/52,Resolucion Ministerial que dicta disposiciones complementarias para la implementacion de una operacion de endeudamiento y una emision de bonos,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1dWUzhUTTlXOVdTOExI,20240731
20240731,2310909-1,INTERIOR,RESOLUCION DIRECTORAL,No 199-2024-IN-VOI-DGIN,Designan Subprefectos(as) Provinciales en diversas regiones del pais,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1lYWUJZWFlCOVdTOExI,20240731
20240731,2311124-1,JUSTICIA Y DERECHOS HUMANOS,RESOLUCION MINISTERIAL,No 0191-2024-JUS,Prorrogan periodo de vigencia del Grupo de Trabajo Multisectorial de naturaleza temporal con el objeto de elaborar la propuesta de la Politica Nacional Multisectorial de Derechos Humanos creado mediante R.M. No 0063-2022-JUS,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1RNTEg5VzlXOVdTOExI,20240731
20240731,2310591-1,MUJER Y POBLACIONES VULNERABLES,RESOLUCION MINISTERIAL,No 256-2024-MIMP,Designan miembro del Directorio de la Sociedad de Beneficencia de Cajamarca en representacion del Ministerio de la Mujer y Poblaciones Vulnerables,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfXzlXWVhVTllCOVdTOExI,20240731
20240731,2310712-1,MUJER Y POBLACIONES VULNERABLES,RESOLUCION MINISTERIAL,No 255-2024-MIMP,Aprueban el Modelo Base Servicio 01: Servicio de cuidado diurno para Ninas Ninos y Adolescentes en situacion de Riesgo de Desproteccion Familiar,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX0xIOVdXVllCOVdTOExI,20240731
20240731,2310829-1,PRODUCE,RESOLUCION MINISTERIAL,No 000302-2024-PRODUCE,Establecen limite maximo de captura permisible del recurso erizo en el ambito de la Reserva Nacional Sistema de Islas Islotes y Puntas Guaneras - Punta Coles (RNSIIPG - Punta Coles) ubicada en la provincia de Ilo departamento de Moquegua para el ano 2024  y dictan otras disposiciones,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1lYTEhYQ1lCOVdTOExI,20240731
20240731,2310567-1,RELACIONES EXTERIORES,RESOLUCION MINISTERIAL,No 0580-2024-RE,Autorizan viaje de funcionario diplomatico a Ecuador en comision de servicios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1dWVkJVTllCOVdTOExI,20240731
20240731,2310613-1,RELACIONES EXTERIORES,RESOLUCION MINISTERIAL,No 0584-2024-RE,Designan Agregado a la Embajada del Peru en la Republica de Costa Rica,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1M4OVdWQllCOVdTOExI,20240731
20240731,2310857-1,RELACIONES EXTERIORES,RESOLUCION MINISTERIAL,No 0585-2024-RE,Aceptan renuncia de Jefa de Unidad de la Unidad de Revision de Cuentas de la Oficina de Gestion del Servicio Exterior de la Oficina General de Administracion,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1dWVU5YQ1lCOVdTOExI,20240731
20240731,2310861-1,RELACIONES EXTERIORES,RESOLUCION MINISTERIAL,No 0586-2024-RE,Aceptan renuncia de Asesora en el Despacho Ministerial,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfXzlXVkJYQ1lCOVdTOExI,20240731
20240731,2310656-1,SALUD,RESOLUCION MINISTERIAL,No 500-2024/MINSA,Aprueban las Fichas de Homologacion de Detector de latidos fetales de sobremesa y Detector de latidos fetales portatil,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1ZCVU5WQllCOVdTOExI,20240731
20240731,2310905-1,VIVIENDA  CONSTRUCCIoN Y SANEAMIENTO,RESOLUCION MINISTERIAL,No 258-2024-VIVIENDA,Designan Directora Ejecutiva del Programa Agua Segura para Lima y Callao,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1VOWUJZWFlCOVdTOExI,20240731
20240731,2311033-1,ORGANISMO SUPERVISOR DE LA INVERSIoN EN ENERGiA Y MINERiA,RESOLUCION,No 154-2024-OS/CD,Resolucion de Consejo Directivo que aprueba el Saldo de la Cuenta de Promocion los factores de reajuste tarifario y el valor de la alicuota aplicables a la Tarifa unica de Distribucion de la concesion de distribucion de gas natural por red de ductos de Lima y Callao,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1M4UzhZQjlXOVdTOExI,20240731
20240731,2311036-1,ORGANISMO SUPERVISOR DE LA INVERSIoN EN ENERGiA Y MINERiA,RESOLUCION,No 155-2024-OS/CD,Resolucion de Consejo Directivo mediante la cual se aprueba el Saldo de la Cuenta de Promocion los Factores de Ajuste Tarifario y el valor de la Alicuota aplicables a la Tarifa de Distribucion de gas natural por red de ductos de la concesion de Ica,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1ZCUzhZQjlXOVdTOExI,20240731
20240731,2310885-1,AUTORIDAD NACIONAL DEL AGUA,RESOLUCION JEFATURAL,No 0284-2024-ANA,Establecen lineamientos que faciliten el proceso de adecuacion de las organizaciones de usuarios de agua a la Ley que regula las organizaciones de usuarios de agua para el fortalecimiento de su participacion en la gestion multisectorial de los recursos hidricos,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1VOWENYQ1lCOVdTOExI,20240731
20240731,2310903-1,CONSEJO NACIONAL DE CIENCIA  TECNOLOGiA E INNOVACIoN TECNOLoGICA,RESOLUCION,No 082-2024-CONCYTEC-P,Aprueban transferencias financieras a entidades publicas y el otorgamiento de subvenciones a personas juridicas privadas,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1M4WUJZWFlCOVdTOExI,20240731
20240731,2310918-1,ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL,RESOLUCION,No 00008-2024-OEFA/CD,Aprueban el Plan Anual de Evaluacion y Fiscalizacion Ambiental - PLANEFA 2025 del OEFA,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1hDOVdZWFlCOVdTOExI,20240731
20240731,2310679-1,ORGANISMO TeCNICO DE LA ADMINISTRACIoN DE LOS SERVICIOS DE SANEAMIENTO,RESOLUCION DIRECTORAL,No 000071-2024-OTASS-DE,Formalizan Acuerdo que aprueba el Plan Operativo Institucional (POI) Anual 2024 Modificado Version 1 del Organismo Tecnico de la Administracion de los Servicios de Saneamiento - OTASS,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4V1ZZQlRNTEhZQkxIOVdfX1lYV1ZWQllCOVdTOExI,20240731
