FECHA_PUBLICACION,OP,ENTIDAD,DISPOSITIVO,NUMERO,SUMILLA,LINK,FECHA_CORTE
20240630,2302495-1,AMBIENTE,RESOLUCION,No 057-2024-SENAMHI/ PREJ,Autorizan transferencia financiera a favor de la Contraloria General de la Republica,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VkJZQlRNTEhZQkxIOVdfX1VOWVhUTUxIWUJTOExI,20240630
20240630,2302496-1,AMBIENTE,RESOLUCION,No 058-2024-SENAMHI/ PREJ,Autorizan transferencia financiera a favor de la Contraloria General de la Republica,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VkJZQlRNTEhZQkxIOVdfX1ZCWVhUTUxIWUJTOExI,20240630
20240630,2300661-1,COMERCIO EXTERIOR Y TURISMO,RESOLUCION MINISTERIAL,No 187-2024-MINCETUR,Autorizan viaje de personal del MINCETUR a Chile en comision de servicios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VkJZQlRNTEhZQkxIOVdfXzlXVkJWQllCWUJTOExI,20240630
20240630,2302313-1,COMERCIO EXTERIOR Y TURISMO,RESOLUCION MINISTERIAL,No 192-2024-MINCETUR,Autorizan viaje de representantes del Ministerio para participar en evento a realizarse en Brunei Darussalam,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VkJZQlRNTEhZQkxIOVdfX1M4OVdTOExIWUJTOExI,20240630
20240630,2302012-1,CULTURA,RESOLUCION DIRECTORAL,No 000103-2024-DGPA-VMPCIC/MC,Determinan proteccion provisional del Sitio Arqueologico Huaca Pro ubicado en el distrito de Los Olivos provincia y departamento de Lima,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VkJZQlRNTEhZQkxIOVdfX0xIOVdZQkxIWUJTOExI,20240630
20240630,2302014-1,CULTURA,RESOLUCION DIRECTORAL,No 000102-2024-DGPA-VMPCIC/MC,Determinan proteccion provisional del Complejo Arqueologico Monumental Playa Culebras ubicado en el distrito de Culebras provincia de Huarmey departamento de ancash,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VkJZQlRNTEhZQkxIOVdfX1RNOVdZQkxIWUJTOExI,20240630
20240630,2302054-1,CULTURA,RESOLUCION VICE MINISTERIAL,No 000171-2024-VMPCIC/MC,Establecen que el Complejo Arqueologico Monumental Centro Ceremonial Cahuachi se encuentra dentro del ambito del area de Reserva Arqueologica Lineas y Geoglifos de Nazca,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VkJZQlRNTEhZQkxIOVdfX1RNVU5ZQkxIWUJTOExI,20240630
20240630,2302231-1,CULTURA,RESOLUCION VICE MINISTERIAL,No 000177-2024-VMPCIC/MC,Declaran Patrimonio Cultural de la Nacion a dos unidades bibliograficas de la obra El Japon moderno y sus bases economicas (1935) de la produccion intelectual de Pedro Eleodoro Paulet Mostajo,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VkJZQlRNTEhZQkxIOVdfXzlXUzhMSExIWUJTOExI,20240630
20240630,2302457-1,DEFENSA,RESOLUCION MINISTERIAL,No 00650-2024-DE,Autorizan viaje de personal naval a Colombia en comision de servicios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VkJZQlRNTEhZQkxIOVdfX1dWVU5UTUxIWUJTOExI,20240630
20240630,2302460-1,DEFENSA,RESOLUCION MINISTERIAL,No 00647-2024-DE,Modifican los articulos 3 y 5 de la R.M. No 0600-2024-DE,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4VkJZQlRNTEhZQkxIOVdfX1lCVkJUTUxIWUJTOExI,20240630
