FECHA_PUBLICACION,OP,ENTIDAD,DISPOSITIVO,NUMERO,SUMILLA,LINK,FECHA_CORTE
20240331,2274883-1,CULTURA,RESOLUCION MINISTERIAL,No 000140-2024-MC,Otorgan la distincion de Personalidad Meritoria de la Cultura,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4UzhZQlRNTEhZQkxIOVdfX1M4WENYQ1RNV1ZMSExI,20240331
20240331,2274649-1,DEFENSA,RESOLUCION MINISTERIAL,No 00291-2024-DE,Autorizan ampliacion de permanencia en el exterior de oficial de la Marina de Guerra del Peru en Italia en mision de estudios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4UzhZQlRNTEhZQkxIOVdfX1lYVE1WQlRNV1ZMSExI,20240331
20240331,2274884-1,INTERIOR,RESOLUCION MINISTERIAL,No 0406-2024-IN,Autorizan viaje de oficial de la Policia Nacional del Peru a Ecuador en comision de servicios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4UzhZQlRNTEhZQkxIOVdfX1RNWENYQ1RNV1ZMSExI,20240331
20240331,2274731-1,CONSEJO SUPERIOR DEL SISTEMA NACIONAL DE EVALUACION  ACREDITACION Y CERTIFICACION DE LA CALIDAD EDUCATIVA,RESOLUCION,No 000030-2024-SINEACE-COSUSINEACE-P,Designan Directora de la Direccion de Capacitacion Seleccion y Supervision del Consejo de Evaluacion Acreditacion y Certificacion de la Calidad de la Educacion Universitaria - CONEAU,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4UzhZQlRNTEhZQkxIOVdfXzlXUzhXVlRNV1ZMSExI,20240331
20240331,2274656-1,ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL,RESOLUCION,No 00051-2024-OEFA/PCD,Designan Jefe/a de la Oficina de Administracion del Organismo de Evaluacion y Fiscalizacion Ambiental - OEFA,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4UzhZQlRNTEhZQkxIOVdfX1ZCVU5WQlRNV1ZMSExI,20240331
20240331,2274387-1,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACIoN TRIBUTARIA,RESOLUCION,No 000062-2024/SUNAT,Modifican la fecha de entrada en vigencia de la Resolucion de Superintendencia No 000081-2023/SUNAT,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4UzhZQlRNTEhZQkxIOVdfX1dWWENTOFRNV1ZMSExI,20240331
20240331,2274837-1,SUPERINTENDENCIA NACIONAL DE CONTROL DE SERVICIOS DE SEGURIDAD  ARMAS  MUNICIONES Y EXPLOSIVOS DE USO CIVIL,RESOLUCION,No 01129-2024-SUCAMEC,Designan Jefe Zonal de la Jefatura Zonal de Ancash de la SUCAMEC,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4UzhZQlRNTEhZQkxIOVdfX1dWUzhYQ1RNV1ZMSExI,20240331
20240331,2274837-2,SUPERINTENDENCIA NACIONAL DE CONTROL DE SERVICIOS DE SEGURIDAD  ARMAS  MUNICIONES Y EXPLOSIVOS DE USO CIVIL,RESOLUCION,No 01144-2024-SUCAMEC,Designan Jefe Zonal de la Jefatura Zonal de La Libertad de la SUCAMEC,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4UzhZQlRNTEhZQkxITEhfX1dWUzhYQ1RNV1ZMSExI,20240331
20240331,2274837-3,SUPERINTENDENCIA NACIONAL DE CONTROL DE SERVICIOS DE SEGURIDAD  ARMAS  MUNICIONES Y EXPLOSIVOS DE USO CIVIL,RESOLUCION,No 01147-2024-SUCAMEC,Designan Gerente de la Gerencia de Politicas de la SUCAMEC,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4UzhZQlRNTEhZQkxIUzhfX1dWUzhYQ1RNV1ZMSExI,20240331
20240331,2274837-4,SUPERINTENDENCIA NACIONAL DE CONTROL DE SERVICIOS DE SEGURIDAD  ARMAS  MUNICIONES Y EXPLOSIVOS DE USO CIVIL,RESOLUCION,No 01148-2024-SUCAMEC,Designan Gerente de la Gerencia de Armas Municiones y Articulos Conexos de la SUCAMEC,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4UzhZQlRNTEhZQkxIVE1fX1dWUzhYQ1RNV1ZMSExI,20240331
