FECHA_PUBLICACION,OP,ENTIDAD,DISPOSITIVO,NUMERO,SUMILLA,LINK,FECHA_CORTE
20240531,2293884-1,CONGRESO DE LA REPUBLICA,LEY,No 32040,Ley de proteccion de la salud de las personas diagnosticadas con epilepsia,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxIOVdfX1RNWENYQ1M4WVhMSExI,20240531
20240531,2293626-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION,No 003-2024-PCM/SGSD,Modifican la Resolucion de Secretaria de Gestion Social y Dialogo No 014-2021-PCM/SGSD que conformo la Mesa de Dialogo para abordar la problematica de la cuenca del rio Coralaque departamento de Moquegua a cargo de la Secretaria de Gestion Social y Dialogo de la Presidencia del Consejo de Ministros,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxIOVdfX1ZCTEhWQlM4WVhMSExI,20240531
20240531,2293884-2,ECONOMIA Y FINANZAS,DECRETO SUPREMO,No 094-2024-EF,Decreto Supremo que autoriza Transferencia de Partidas en el Presupuesto del Sector Publico para el Ano Fiscal 2024 a favor de diversos Gobiernos Regionales,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxITEhfX1RNWENYQ1M4WVhMSExI,20240531
20240531,2294298-1,ECONOMIA Y FINANZAS,DECRETO SUPREMO,No 095-2024-EF,Decreto Supremo que aprueba Disposiciones Reglamentarias para la gestion de los recursos del Fondo para Intervenciones ante la ocurrencia de desastres naturales,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxIOVdfX1hDWVhMSFRNWVhMSExI,20240531
20240531,2294361-1,ECONOMIA Y FINANZAS,RESOLUCION MINISTERIAL,No 183-2024-EF/43,Aprueban la contratacion del servicio de informacion financiera Bloomberg Terminal,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxIOVdfXzlXVkJTOFRNWVhMSExI,20240531
20240531,2293871-1,EDUCACION,RESOLUCION VICE MINISTERIAL,No 060-2024-MINEDU,Modifican la Norma Tecnica denominada Norma que regula el procedimiento y requisitos para la contratacion de auxiliares de educacion en las modalidades de Educacion Basica Regular y Educacion Basica Especial,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxIOVdfXzlXV1ZYQ1M4WVhMSExI,20240531
20240531,2275035-1,ENERGIA Y MINAS,RESOLUCION MINISTERIAL,No 126-2024-MINEM/DM,Califican como fuerza mayor el evento Hurto de Paneles Solares  que afecto Calendario de Ejecucion de Obras de concesion definitiva para desarrollar actividad de generacion de energia electrica con Recursos Energeticos Renovables para la Central Solar Clemesi,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxIOVdfX1VOUzhZQlVOV1ZMSExI,20240531
20240531,2293131-1,ENERGIA Y MINAS,RESOLUCION MINISTERIAL,No 215-2024-MINEM/DM,Otorgan a favor de la empresa SL ENERGY S.A.C. la concesion definitiva para desarrollar la actividad de generacion de energia electrica con Recursos Energeticos Renovables para el proyecto Parque Eolico Guarango ubicado en el departamento de Ica,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxIOVdfXzlXUzg5V1M4WVhMSExI,20240531
20240531,2294099-1,INTERIOR,RESOLUCION MINISTERIAL,No 0699-2024-IN,Autorizan viaje de personal policial a la Republica Popular China en comision de servicios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxIOVdfX1lYWVhZQlRNWVhMSExI,20240531
20240531,2294298-2,INTERIOR,RESOLUCION SUPREMA,No 105-2024-IN,Designan Viceministro de Orden Interno,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxITEhfX1hDWVhMSFRNWVhMSExI,20240531
20240531,2293884-3,JUSTICIA Y DERECHOS HUMANOS,RESOLUCION SUPREMA,No 125-2024-JUS,Aceptan renuncia de miembro del Consejo Directivo de la Procuraduria General del Estado en su calidad de representante del Ministerio de Justicia y Derechos Humanos,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxIUzhfX1RNWENYQ1M4WVhMSExI,20240531
20240531,2293884-4,JUSTICIA Y DERECHOS HUMANOS,RESOLUCION SUPREMA,No 126-2024-JUS,Designan miembro del Consejo Directivo de la Procuraduria General del Estado en su calidad de representante del Ministerio de Justicia y Derechos Humanos,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxIVE1fX1RNWENYQ1M4WVhMSExI,20240531
20240531,2293555-1,SALUD,RESOLUCION MINISTERIAL,No 381-2024/MINSA,Designan Director Ejecutivo de la Direccion de Intercambio Prestacional Organizacion y Servicios de Salud de la Direccion General de Aseguramiento e Intercambio Prestacional del Ministerio,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxIOVdfX1VOVU5VTlM4WVhMSExI,20240531
20240531,2293557-1,SALUD,RESOLUCION MINISTERIAL,No 382-2024/MINSA,Designan Directora Ejecutiva de la Oficina de Desarrollo de Recursos Humanos de Oficina General de Gestion de Recursos Humanos del Ministerio,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxIOVdfX1dWVU5VTlM4WVhMSExI,20240531
20240531,2293973-1,TRABAJO Y PROMOCION DEL EMPLEO,RESOLUCION MINISTERIAL,No 088-2024-TR,Autorizan viaje de miembros que conforman la delegacion del sector trabajador a la 112o reunion de la Conferencia Internacional del Trabajo de la Organizacion Internacional del Trabajo - OIT a realizarse en la Confederacion Suiza,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4VU5ZQlRNTEhZQkxIOVdfX1M4V1ZZWFM4WVhMSExI,20240531
