FECHA_PUBLICACION,OP,ENTIDAD,DISPOSITIVO,NUMERO,SUMILLA,LINK,FECHA_CORTE
20241130,2349661-1,CONGRESO DE LA REPUBLICA,LEY,N° 32174,Ley que declara el 7 de diciembre de cada año Día Nacional de la Danza del Wititi,https://busquedas.elperuano.pe/dispositivo/NL/2349661-1,20241130
20241130,2349661-2,CONGRESO DE LA REPUBLICA,LEY,N° 32175,Ley que crea la Universidad Nacional Intercultural Aimara de Ilave en el distrito de Ilave de la provincia de El Collao del departamento de Puno,https://busquedas.elperuano.pe/dispositivo/NL/2349661-2,20241130
20241130,2349662-1,CONGRESO DE LA REPUBLICA,LEY,N° 32176,Ley de fortalecimiento e implementación de las boticas públicas FARMAMINSA a nivel nacional,https://busquedas.elperuano.pe/dispositivo/NL/2349662-1,20241130
20241130,2349661-3,PRESIDENCIA DEL CONSEJO DE MINISTROS,DECRETO SUPREMO,N° 133-2024-PCM,Decreto Supremo que prorroga el Estado de Emergencia en algunos distritos y centros poblados de provincias pertenecientes a los departamentos de Ayacucho Huancavelica Junín y Cusco,https://busquedas.elperuano.pe/dispositivo/NL/2349661-3,20241130
20241130,2349579-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION,N° 005-2024-PCM-SGP,Aprueban actualización de la Norma Técnica N° 01-2020-PCM/SGP/SSAP que establece modelos de organización para municipalidades,https://busquedas.elperuano.pe/dispositivo/NL/2349579-1,20241130
20241130,2349583-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION,N° 006-2024-PCM-SGP,Suspenden la aplicación la Directiva que regula la verificación posterior aleatoria de los documentos técnico normativo de gestión organizacional aprobada por la Res. N° 00011-2021-PCM/SGP,https://busquedas.elperuano.pe/dispositivo/NL/2349583-1,20241130
20241130,2349618-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION MINISTERIAL,N° 340-2024-PCM,Derogan la Resolución Ministerial N° 186-2015-PCM que aprueba el Manual para Mejorar la Atención a la Ciudadanía y la Resolución Ministerial N° 066-2019-PCM,https://busquedas.elperuano.pe/dispositivo/NL/2349618-1,20241130
20241130,2349621-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION MINISTERIAL,N° 341-2024-PCM,Derogan la R.M. N° 268-2013-PCM que crea el Registro Unificado de Comisiones Multisectoriales y aprueban la Directiva Nº 001-2013-PCM/SC Lineamientos sobre las Comisiones Multisectoriales del Poder Ejecutivo y su Anexo,https://busquedas.elperuano.pe/dispositivo/NL/2349621-1,20241130
20241130,2349690-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION SUPREMA,N° 248-2024-PCM,Autorizan viaje del Ministro de Justicia y Derechos Humanos al Reino de los Países Bajos y encargan su Despacho al Ministro de Trabajo y Promoción del Empleo,https://busquedas.elperuano.pe/dispositivo/NL/2349690-1,20241130
20241130,2349649-1,AMBIENTE,RESOLUCION MINISTERIAL,N° 00420-2024-MINAM,Disponen la publicación del proyecto de Resolución Ministerial que aprueba las Fichas Técnicas Ambientales para proyectos de inversión de residuos sólidos consistentes en: i) Ficha Técnica Ambiental (FTA) para proyectos de residuos sólidos no sujetos al SEIA de menor complejidad; y ii) Ficha Técnica Ambiental (FTA) para proyectos de residuos sólidos no sujetos al SEIA de mayor complejidad,https://busquedas.elperuano.pe/dispositivo/NL/2349649-1,20241130
20241130,2349525-1,COMERCIO EXTERIOR Y TURISMO,RESOLUCION MINISTERIAL,N° 364-2024-MINCETUR,Autorizan viaje de representantes de PROMPERÚ para participar en evento a realizarse en Chile,https://busquedas.elperuano.pe/dispositivo/NL/2349525-1,20241130
20241130,2349518-1,COMERCIO EXTERIOR Y TURISMO,RESOLUCION MINISTERIAL,N° 362-2024-MINCETUR,Autorizan viaje de representantes del Ministerio para participar en reuniones a realizarse en la Confederación Suiza,https://busquedas.elperuano.pe/dispositivo/NL/2349518-1,20241130
20241130,2349522-1,COMERCIO EXTERIOR Y TURISMO,RESOLUCION MINISTERIAL,N° 363-2024-MINCETUR,Autorizan viaje de representante de PROMPERÚ para participar en evento a realizarse en Argentina,https://busquedas.elperuano.pe/dispositivo/NL/2349522-1,20241130
20241130,2349682-1,CULTURA,RESOLUCION MINISTERIAL,N° 000436-2024-MC,Designan Director de Sistema Administrativo III de la Oficina de Abastecimiento de la Oficina General de Administración del Ministerio de Cultura,https://busquedas.elperuano.pe/dispositivo/NL/2349682-1,20241130
20241130,2349641-1,DEFENSA,RESOLUCION MINISTERIAL,N° 01683-2024-DE,Autorizan viaje de Director General y del Secretario General del Centro de Altos Estudios Nacionales - Escuela de Posgrado a la República Popular China en misión de estudios,https://busquedas.elperuano.pe/dispositivo/NL/2349641-1,20241130
20241130,2349661-6,DEFENSA,RESOLUCION SUPREMA,N° 171-2024-DE,Designan a Técnico 1ro EP para desempeñarse en el cargo de Secretario en apoyo a las actividades administrativas y protocolares de la Delegación del Perú ante la Junta Interamericana de Defensa Organización de los Estados Americanos (JID - OEA) en EE.UU.,https://busquedas.elperuano.pe/dispositivo/NL/2349661-6,20241130
20241130,2349501-1,ECONOMIA Y FINANZAS,RESOLUCION,N° 051-2024-CF/ST,Asignan funciones adicionales a servidora como responsable de entregar la información de acceso público en el Consejo Fiscal,https://busquedas.elperuano.pe/dispositivo/NL/2349501-1,20241130
20241130,2349235-1,ECONOMIA Y FINANZAS,RESOLUCION,N° 027-2024-CF/ST,Aprueban el Manual de Perfiles de Puestos – MPP del Consejo Fiscal,https://busquedas.elperuano.pe/dispositivo/NL/2349235-1,20241130
20241130,2349483-1,ECONOMIA Y FINANZAS,RESOLUCION DIRECTORAL,N° 0038-2024-EF/50.01,Aprueban resultados finales del cumplimiento de las metas del Tramo I del año 2024 del Programa de Incentivos a la Mejora de la Gestión Municipal,https://busquedas.elperuano.pe/dispositivo/NL/2349483-1,20241130
