FECHA_PUBLICACION,OP,ENTIDAD,DISPOSITIVO,NUMERO,SUMILLA,LINK,FECHA_CORTE
20241031,2339816-1,CONGRESO DE LA REPUBLICA,LEY,No 32148,Ley que garantiza el incremento de la remuneracion integra mensual superior (RIMS) de los docentes de los institutos y escuelas de educacion superior de los docentes de los Institutos de Educacion Superior del Ministerio de Defensa de los docentes del Centro de Formacion en Turismo del Ministerio de Comercio Exterior y Turismo de los docentes de las Escuelas Superiores de Formacion Artistica y de los docentes de las exESFA actuales Universidad Nacional de Arte Diego Quispe Tito del Cusco Universidad Nacional Daniel Alomia Robles y Universidad Nacional de Musica  y dicta otras disposiciones,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfX1ZCOVdYQ1lYUzhTOExI,20241031
20241031,2339816-2,CONGRESO DE LA REPUBLICA,LEY,No 32149,Ley que constituye como pliegos presupuestales a las universidades nacionales creadas por las leyes 31995 31997 31998 32011 32020 32060 32072 y 32074,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxITEhfX1ZCOVdYQ1lYUzhTOExI,20241031
20241031,2339816-3,CONGRESO DE LA REPUBLICA,LEY,No 32150,Ley que declara de interes nacional el mejoramiento y la culminacion de la edificacion del complejo deportivo Leoncio Prado de la Institucion Educativa Publica Mariscal Caceres de la provincia de Huamanga en el departamento de Ayacucho,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIUzhfX1ZCOVdYQ1lYUzhTOExI,20241031
20241031,2339819-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,DECRETO SUPREMO,No 118-2024-PCM,Decreto Supremo que prorroga el Estado de Emergencia declarado en el Corredor Vial Sur Apurimac-Cusco-Arequipa,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfX1lYOVdYQ1lYUzhTOExI,20241031
20241031,2339819-2,PRESIDENCIA DEL CONSEJO DE MINISTROS,DECRETO SUPREMO,No 119-2024-PCM,Decreto Supremo que prorroga el Estado de Emergencia declarado en la provincia de Zarumilla del departamento de Tumbes,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxITEhfX1lYOVdYQ1lYUzhTOExI,20241031
20241031,2339804-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,RESOLUCION MINISTERIAL,No 290-2024-PCM,Autorizan viaje de presidente del Consejo Nacional de Ciencia Tecnologia e Innovacion - CONCYTEC a Francia en comision de servicios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfX1RNWUJYQ1lYUzhTOExI,20241031
20241031,2339371-1,CULTURA,RESOLUCION DIRECTORAL,No 000481-2024-DDC CAJ/MC,Determinan la Proteccion Provisional del Sitio Arqueologico Cajamarcaorco ubicado en el distrito Los Banos del Inca provincia y departamento de Cajamarca,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfXzlXV1ZTOFlYUzhTOExI,20241031
20241031,2339829-1,CULTURA,RESOLUCION MINISTERIAL,No 000398-2024-MC,Otorgan la distincion de Personalidad Meritoria de la Cultura,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfX1lYTEhYQ1lYUzhTOExI,20241031
20241031,2339830-1,CULTURA,RESOLUCION MINISTERIAL,No 000399-2024-MC,Otorgan la distincion de Personalidad Meritoria de la Cultura,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfX1lCUzhYQ1lYUzhTOExI,20241031
20241031,2339694-1,DEFENSA,RESOLUCION MINISTERIAL,No 01223-2024-DE,Autorizan viaje de oficial del Ejercito del Peru a la Republica de Corea en comision de servicios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfX1RNWVhWQllYUzhTOExI,20241031
20241031,2339819-18,DEFENSA,RESOLUCION SUPREMA,No 128-2024-DE,Designan personal militar de la FAP ante la Junta Interamericana de Defensa de la Organizacion de los Estados Americanos,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NjM5VzlXOVdTOFlCOVdUTUxIWUJMSFhDOVdfX1lYOVdYQ1lYUzhTOExI,20241031
20241031,2339819-15,DESARROLLO AGRARIO Y RIEGO,RESOLUCION SUPREMA,No 017-2024-MIDAGRI,Designan Viceministra de Politicas y Supervision del Desarrollo Agrario,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NjM5VzlXOVdTOFlCOVdUTUxIWUJMSFVOOVdfX1lYOVdYQ1lYUzhTOExI,20241031
20241031,2339805-1,DESARROLLO AGRARIO Y RIEGO,RESOLUCION DIRECTORAL,No 339-2024-MIDAGRI-DVDAFIR-AGRO RURAL-DE,Designan Jefe de la Unidad de Administracion del Programa de Desarrollo Productivo Agrario Rural - AGRO RURAL,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfX1VOWUJYQ1lYUzhTOExI,20241031
20241031,2339952-1,DESARROLLO AGRARIO Y RIEGO,RESOLUCION MINISTERIAL,No 0357-2024-MIDAGRI,Autorizan viaje de funcionarios y especialista del SENASA a Brasil en comision de servicios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfX0xIVU5ZWFlYUzhTOExI,20241031
20241031,2340307-1,ECONOMIA Y FINANZAS,DECRETO SUPREMO,No 204-2024-EF,Decreto Supremo que autoriza transferencias de partidas en el Presupuesto del Sector Publico para el Ano Fiscal 2024 a favor de la Reserva de Contingencia y de la Municipalidad Distrital de Challhuahuacho,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfX1dWWUJTOFlCVE1TOExI,20241031
20241031,2340307-2,ECONOMIA Y FINANZAS,DECRETO SUPREMO,No 205-2024-EF,Decreto Supremo que autoriza transferencia de partida en el Presupuesto del Sector Publico para el Ano Fiscal 2024 a favor de la Reserva de Contingencia y del Gobierno Regional de Apurimac,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxITEhfX1dWWUJTOFlCVE1TOExI,20241031
20241031,2339818-1,ECONOMIA Y FINANZAS,FE DE ERRATA,D.S. No 193-2024-EF,FE DE ERRATA,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfX1hDOVdYQ1lYUzhTOExI,20241031
20241031,2339538-1,ECONOMIA Y FINANZAS,RESOLUCION DIRECTORAL,No 0035-2024-EF/50.01,Resolucion Directoral que aprueba Lineamientos para la presentacion de propuestas de compromisos indicadores y metas del Programa de Incentivos a la Mejora de la Gestion Municipal para el ano 2025 y sus Anexos,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfX1hDUzhVTllYUzhTOExI,20241031
20241031,2339429-1,ECONOMIA Y FINANZAS,RESOLUCION VICE MINISTERIAL,No 020-2024-EF/15.01,Aprueban precios de referencia y derechos variables adicionales a que se refiere el Decreto Supremo No 115-2001-EF,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfX1lYTEhUTVlYUzhTOExI,20241031
20241031,2339705-1,EDUCACION,RESOLUCION MINISTERIAL,No 547-2024-MINEDU,Designan Directora General de la Direccion General de Infraestructura Educativa,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDM5VzlXOVc5V1M4WUI5V1RNTEhZQkxIOVdfX1VOWUJXVllYUzhTOExI,20241031
20241031,2339819-16,INTERIOR,RESOLUCION SUPREMA,No 149-2024-IN,Aceptan renuncia de Viceministro de Orden Interno,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NjM5VzlXOVdTOFlCOVdUTUxIWUJMSFZCOVdfX1lYOVdYQ1lYUzhTOExI,20241031
