FECHA_PUBLICACION,OP,ENTIDAD,DISPOSITIVO,NUMERO,SUMILLA,LINK,FECHA_CORTE
20240930,2330386-1,PRESIDENCIA DEL CONSEJO DE MINISTROS,DECRETO SUPREMO,No 102-2024-PCM,Decreto Supremo que prorroga el Estado de Emergencia en varios distritos de la provincia de Islay del departamento de Arequipa y de la provincia de General Sanchez Cerro del departamento de Moquegua por peligro inminente ante contaminacion hidrica,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1ZCWENTOFlCUzhTOExI,20240930
20240930,2329841-1,DESARROLLO E INCLUSIoN SOCIAL,RESOLUCION MINISTERIAL,No D000143-2024-MIDIS,Aprueban el Texto Integrado del Reglamento de Organizacion y Funciones del Ministerio de Desarrollo e Inclusion Social,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfXzlXVE1YQ1lYTEhTOExI,20240930
20240930,2330386-3,ECONOMIA Y FINANZAS,DECRETO SUPREMO,No 178-2024-EF,Aprueban Listado de entidades que podran ser exceptuadas de la percepcion del Impuesto General a las Ventas,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIUzhfX1ZCWENTOFlCUzhTOExI,20240930
20240930,2330386-4,ECONOMIA Y FINANZAS,DECRETO SUPREMO,No 179-2024-EF,Decreto Supremo que autoriza una Transferencia de Partidas en el Presupuesto del Sector Publico para el Ano Fiscal 2024 a favor del Ministerio del Interior,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIVE1fX1ZCWENTOFlCUzhTOExI,20240930
20240930,2329850-1,ECONOMIA Y FINANZAS,RESOLUCION DIRECTORAL,No 011-2024-EF/51.01,Aprueban el Instructivo No 004-2024-EF/51.01 Manual de adopcion por primera vez del Marco de las Normas Internacionales de Contabilidad del Sector Publico,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1lCVU5YQ1lYTEhTOExI,20240930
20240930,2329939-1,INTERIOR,RESOLUCION MINISTERIAL,No 1202-2024-IN,Autorizan viaje de personal policial a la Republica Argentina en comision de servicios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1lYUzhZWFlYTEhTOExI,20240930
20240930,2329944-1,INTERIOR,RESOLUCION MINISTERIAL,No 1203-2024-IN,Autorizan viaje de Especialista en Gestion de Cooperacion Internacional a Ecuador en comision de servicios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1RNVE1ZWFlYTEhTOExI,20240930
20240930,2330288-1,INTERIOR,RESOLUCION MINISTERIAL,No 1206-2024-IN,Aprueban el Listado de Inversiones Estrategicas en el Plan Estrategico Sectorial Multianual (PESEM) del Sector Interior al 2030,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1hDWENMSFlCUzhTOExI,20240930
20240930,2330386-2,JUSTICIA Y DERECHOS HUMANOS,DECRETO SUPREMO,No 010-2024-JUS,Decreto Supremo que modifica el Calendario Oficial de la Aplicacion Progresiva del Codigo de Responsabilidad Penal de Adolescentes,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxITEhfX1ZCWENTOFlCUzhTOExI,20240930
20240930,2329837-1,MUJER Y POBLACIONES VULNERABLES,RESOLUCION,No D000183-2024-CONADIS-PRE,Conforman la Comision Especial de Transicion al marco de las Normas Internacionales de Contabilidad del Sector Publico del Consejo Nacional para la Integracion de la Persona con Discapacidad y dictan otras disposiciones,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1dWUzhYQ1lYTEhTOExI,20240930
20240930,2329911-1,PRODUCE,RESOLUCION,No 749-2024-PRODUCE/PROINNOVATE,Aprueban el otorgamiento de subvenciones a diversos beneficiarios destinados a cofinanciar los desembolsos de proyectos en el marco del Contrato de Prestamo No 5287/OC-PE Programa de Innovacion Modernizacion Tecnologica y Emprendimiento y del Fondo MIPYME Emprendedor,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfXzlXOVdZWFlYTEhTOExI,20240930
20240930,2329897-1,PRODUCE,RESOLUCION MINISTERIAL,No 00395-2024-PRODUCE,Establecen disposiciones complementarias para el cumplimiento del D.S. No 003-2023-PRODUCE que establece disposiciones para los armadores de embarcaciones pesqueras artesanales con permiso de pesca obtenido en el marco del numeral 6.2 del articulo 6 del D.S. No 006-2016-PRODUCE,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1dWWVhYQ1lYTEhTOExI,20240930
20240930,2329904-1,PRODUCE,RESOLUCION MINISTERIAL,No 00396-2024-PRODUCE,Autorizan actividad extractiva del recurso jurel efectuada por embarcaciones pesqueras artesanales y dictan diversas disposiciones,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1RNWUJZWFlYTEhTOExI,20240930
20240930,2329907-1,TRANSPORTES Y COMUNICACIONES,RESOLUCION DIRECTORAL,No 024-2024-MTC/18,Disponen la publicacion del proyecto de Resolucion Directoral que aprueba la Directiva que establece las especificaciones y/o caracteristicas tecnicas minimas de la infraestructura complementaria de transporte,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1dWWUJZWFlYTEhTOExI,20240930
20240930,2329900-1,TRANSPORTES Y COMUNICACIONES,RESOLUCION MINISTERIAL,No 568-2024-MTC/01,Designan Director de la Oficina de Finanzas de la Oficina General de Administracion,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1lCWUJZWFlYTEhTOExI,20240930
20240930,2329901-1,TRANSPORTES Y COMUNICACIONES,RESOLUCION MINISTERIAL,No 555-2024-MTC/01.03,Dejan sin efecto la R.M. No 140-2024-MTC/01.03 que aprueba la ejecucion de la expropiacion y el valor de la tasacion del area afectada de inmueble para la ejecucion del proyecto: Red Dorsal Nacional de Fibra optica: Cobertura Universal Norte Cobertura Universal Sur y Cobertura Universal Centro,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfXzlXWUJZWFlYTEhTOExI,20240930
20240930,2329902-1,TRANSPORTES Y COMUNICACIONES,RESOLUCION MINISTERIAL,No 562-2024-MTC/01.02,Aprueban ejecucion de expropiacion del area afectada de inmueble para la ejecucion de la obra: Autopista del Sol (Trujillo - Chiclayo - Piura - Sullana) y el valor de la tasacion,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX0xIWUJZWFlYTEhTOExI,20240930
20240930,2329905-1,TRANSPORTES Y COMUNICACIONES,RESOLUCION MINISTERIAL,No 567-2024-MTC/01.03,Dejan sin efecto la R.M. No 1484-2023-MTC/01.03 que aprueba la ejecucion de la expropiacion y el valor de la tasacion del area afectada de inmueble para la ejecucion del proyecto: Red Dorsal Nacional de Fibra optica: Cobertura Universal Norte Cobertura Universal Sur y Cobertura Universal Centro,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1VOWUJZWFlYTEhTOExI,20240930
20240930,2329906-1,TRANSPORTES Y COMUNICACIONES,RESOLUCION MINISTERIAL,No 569-2024-MTC/01.02,Aprueban ejecucion de expropiacion de areas afectadas de inmueble para la ejecucion de la obra: Rehabilitacion y Mejoramiento de la Carretera Huallanca - Caraz y el valor de la tasacion,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1ZCWUJZWFlYTEhTOExI,20240930
20240930,2329843-1,VIVIENDA  CONSTRUCCIoN Y SANEAMIENTO,RESOLUCION MINISTERIAL,No 361-2024-VIVIENDA,Designan Director Ejecutivo del Programa Nacional de Vivienda Rural,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1M4VE1YQ1lYTEhTOExI,20240930
20240930,2329848-1,VIVIENDA  CONSTRUCCIoN Y SANEAMIENTO,RESOLUCION MINISTERIAL,No 362-2024-VIVIENDA,Designan Director Ejecutivo del Programa Mejoramiento Integral de Barrios,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1hDVE1YQ1lYTEhTOExI,20240930
20240930,2329893-1,BIBLIOTECA NACIONAL DEL PERU,RESOLUCION JEFATURAL,No 000148-2024-BNP,Designan Directora de la Direccion de Desarrollo de Politicas Bibliotecarias,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1M4WVhYQ1lYTEhTOExI,20240930
20240930,2329573-1,INSTITUTO NACIONAL DE SALUD,RESOLUCION,No 196-2024-PE/INS,Designan Subdirector II de la Subdireccion de Innovacion en Salud de la Direccion de Investigacion e Innovacion en Salud,https://epdoc2.elperuano.pe/EpPo/DescargaINDA.asp?Referencias=NDNZQllCWUJZQlM4WVhZQlRNTEhZQkxIOVdfX1M4V1ZVTllYTEhTOExI,20240930
